customer_id,customer_name,gender,age,city,join_date,customer_type
C00001,Warjas Dhillon,Male,45.0,Hyderabad,2024-08-01,New
C00002,Michael Sathe,Female,29.0,Delhi,2025-10-01,New
C00003,Nisha Batta,Female,63.0,Mumbai,2023-08-11,New
C00004,Jhalak Dalal,Female,57.0,Bangalore,2024-08-30,New
C00005,Atharv Suresh,Male,20.0,Bangalore,2023-08-04,Returning
C00006,Radha Panchal,Female,56.0,Hyderabad,2024-03-24,Returning
C00007,Chatresh Varughese,Male,43.0,Chennai,2024-01-01,Returning
C00008,Faras Wali,Male,57.0,Pune,2023-10-30,New
C00009,Tarak Bala,Male,40.0,Bangalore,2026-05-14,New
C00010,Urmi Minhas,Female,37.0,Hyderabad,2026-04-24,Returning
C00011,Vasudha Khanna,Male,46.0,Ahmedabad,2026-01-18,New
C00012,Yug Raju,Female,48.0,Delhi,2024-03-31,Returning
C00013,Robert Bora,Female,30.0,Mumbai,2023-10-27,New
C00014,Samesh Bansal,Female,24.0,Delhi,2025-10-29,New
C00015,Krishna Dhar,Male,,Ahmedabad,2023-11-07,New
C00016,Parth Doshi,Female,38.0,Pune,2024-11-03,Returning
C00017,Benjamin Krishnan,Female,28.0,Pune,2026-04-23,New
C00018,Bahadurjit Chand,Female,32.0,Mumbai,2024-08-09,New
C00019,Christopher Andra,Female,20.0,mumbai,2025-11-09,New
C00020,Aahana Gala,Male,22.0,mumbai,2024-01-01,New
C00021,Gauri Gandhi,Female,18.0,Pune,2023-07-14,New
C00022,Devika Karnik,Male,22.0,Kolkata,2026-01-06,New
C00023,Aradhana Shan,Male,43.0,Kolkata,2025-10-27,New
C00024,Anirudh Pandit,Male,20.0,,2025-06-22,New
C00025,Chandresh Deep,Male,22.0,Kolkata,2024-06-15,New
C00026,Mugdha Bora,Female,24.0,Mumbai,2026-01-06,New
C00027,Yochana Shan,Male,43.0,Hyderabad,2024-10-21,Returning
C00028,Mahika Ranganathan,Female,22.0,Chennai,2025-09-21,Returning
C00029,Gautami Nanda,Male,65.0,Delhi,2025-06-17,Returning
C00030,Nathaniel Raghavan,Female,56.0,,2023-10-29,New
